alpha,beta,h,c,total,intervals,travel_time,cost_PPO_EnvImpr2V2_c49ab_500K,observed_n_PPO_EnvImpr2V2_c49ab_500K,cost_PTO_Var_n,observed_n_PTO_Var_n,cost_PTO_Fix_n_3,cost_PTO_Fix_n_5,cost_Oracle_Var_n,observed_n_Oracle_Var_n,cost_Oracle_Fix_n_3,cost_Oracle_Fix_n_5
1.1,1.1,0.5,25,24,"[2.57532596 3.86577841 1.34645882 0.58879672 1.59168308 3.5890302
 1.81894607 1.27762698 0.38980418 1.91967681 1.27359452 2.01556805
 1.57220579 0.85484528 0.07205562 0.72004136 0.64383657 0.1518228
 0.09399786 1.59965744 1.49119288 1.26653576 1.53589309 0.49547285]",3.6998855460926743,0.6990757742953537,17.0,0.6990757742953537,17.0,25.0,25.0,1.1480795962122414,13.0,4.13318611591002,4.088999337868465
2.8000000000000016,1.1,0.5,25,28,"[1.44070067 0.71243272 1.91055355 2.64982386 2.18701886 2.57507174
 4.77926758 1.3363291  4.52425204 0.93499105 2.02009432 4.07371286
 5.97734786 3.42236929 3.76257812 2.89207223 3.37176672 2.1846362
 6.55269259 1.70455083 3.74879903 0.11067475 0.82645612 4.03383703
 0.70008235 4.17845362 3.66835232 3.82509244]",44.60580668328116,15.717258106938257,3.0,15.717258106938257,3.0,15.717258106938257,13.298836749734647,6.322903158579493,8.0,5.7636328085788335,6.285651771375228
2.5000000000000013,1.9000000000000008,0.5,25,10,"[ 6.29389986  1.08079814  6.04012478  1.63111854  2.95123239  2.68189458
  3.57315613 15.46017596  2.57236268  2.69139906]",20.18159502948671,5.689872151568451,3.0,5.689872151568451,3.0,5.689872151568451,3.398696685470675,4.95279127131181,3.0,4.95279127131181,3.398696685470675
1.8000000000000007,1.7000000000000006,0.5,25,15,"[9.13524037 3.98564395 1.2896753  1.57423167 5.61743719 1.88556611
 0.39479526 3.91773801 3.19903386 3.18346738 2.94301976 1.28493468
 2.55222577 0.60396435 3.99059038]",9.474279438343432,1.9442134710126062,9.0,0.9502277489241138,10.0,25.0,25.0,2.5419614368408894,9.0,2.9793838079892367,2.1066418505339293
1.8000000000000007,1.3000000000000003,0.5,25,12,"[4.44558209 1.29278214 1.11379606 2.04403167 0.41581305 5.59869289
 0.5030979  0.35120905 3.49885523 2.13144557 1.49462163 2.63056779]",5.583939066140296,4.754341674564687,5.0,1.8238902706316544,6.0,2.773343711893146,4.754341674564687,1.9189549106316548,6.0,3.107246751893147,3.7983083895646885
1.9000000000000008,1.3000000000000003,0.5,25,21,"[2.51806998 2.62995682 2.32455179 1.92036761 0.84448506 2.1371239
 2.18900788 0.77365755 1.67283655 4.69341964 3.37867183 0.81747796
 4.07363844 1.23002194 6.64126889 1.69649185 4.13315272 0.77408704
 7.96470525 3.51809149 2.09685732]",21.490779304111147,10.599970803831138,8.0,10.599970803831138,8.0,2.859945680621845,10.475922007024618,9.585719099322674,6.0,8.65350225865528,9.533207767024617
2.300000000000001,1.1,0.5,25,18,"[1.55803806 3.17274427 2.52167716 5.96224895 3.39306303 3.10467693
 0.72118355 2.92633683 0.70473103 2.95823101 0.52581852 3.06805922
 1.82689563 0.69940961 5.58853464 4.93300861 1.50203802 1.07570939]",12.55772752689452,3.188244327093777,9.0,3.0679637967137126,11.0,4.028170579176436,25.0,3.330873057106487,10.0,5.552664659176436,3.1610867476898434
1.3000000000000003,1.8000000000000007,0.5,25,11,"[3.74576499 0.98352917 3.77703906 1.91530022 1.67205219 0.99062377
 1.09514333 0.11104048 3.80290491 0.3207794  0.15649759]",1.1577733295029797,0.25155183798088565,7.0,1.5612042893513056,8.0,25.0,25.0,0.6475866999208524,6.0,0.287381830955427,0.30304579118327624
1.9000000000000008,1.8000000000000007,0.5,25,28,"[1.22956191 3.33341076 3.56141887 0.92555817 3.6963466  0.35827598
 2.49420533 2.00495513 1.88659003 5.73389739 1.47266946 0.81776361
 0.52878835 1.57179534 4.83524338 4.0922057  3.15606995 3.91386263
 6.10026404 5.06859649 0.86287513 2.21165124 0.74601135 0.84433207
 2.72008561 1.65120755 0.45692951 2.03460894]",10.073990543298388,25.0,21.0,25.0,21.0,1.0432373716162573,3.5735662657474947,25.0,22.0,25.0,25.0
2.4000000000000012,1.8000000000000007,0.5,25,14,"[ 4.56198536 10.18644908  1.95851622  1.16486973  1.38842426  2.40542157
 18.3572405   5.44611892  2.04173228  3.74156494  5.52307479  0.92082393
  4.22322016  4.2545253 ]",28.745508221092916,9.084107085087233,5.0,9.084107085087233,5.0,1.316456029300646,9.084107085087233,8.726030129043835,4.0,7.3200361893006445,9.084107085087233
2.8000000000000016,1.1,0.5,25,29,"[ 3.29461358  1.88859929  3.14764293  1.70220382 11.65092273  1.02827545
  1.04719848  1.38091661  4.16523519  4.67336224  1.75644806  2.68341183
  3.12865788  4.68188343  6.95874014  5.1221791   2.85879909  1.24362222
  4.58113989  7.6898636   2.22865041  0.87649014  1.77321168  5.34600558
 13.20559075  4.19206371  2.03894871  1.97231815  6.13225627]",70.83207952295486,15.792055899093079,4.0,16.64315780869351,3.0,16.64315780869351,1.189943098995066,16.64315780869351,3.0,16.64315780869351,9.96659453251764
1.2000000000000002,1.1,0.5,25,17,"[0.07602528 0.52344704 0.16189205 0.10635515 0.47535268 0.53481769
 0.91780802 1.42146351 1.97474233 4.62461305 0.61735117 0.16263134
 0.8188676  0.54113715 0.49948079 0.31777132 0.4845722 ]",9.761294001102879,1.8678350020291168,3.0,1.8678350020291168,3.0,1.8678350020291168,1.576981085585687,1.3518381675805564,3.0,1.3518381675805564,1.576981085585687
1.0,1.3000000000000003,0.5,25,29,"[0.47230413 2.57046491 2.44868849 0.28320502 0.00954335 0.37664079
 0.4288318  0.86475219 0.87473358 2.94935138 0.29265525 0.95203864
 3.98054004 0.07301693 0.86599661 3.16169392 1.03323934 1.05041964
 0.25779846 0.96818618 0.39963151 0.01300003 2.4723062  0.01359042
 1.0164188  0.69811349 0.84301073 0.21568748 1.38811396]",14.49480593768884,5.159160320355136,6.0,5.159160320355136,6.0,25.0,4.34903536544725,2.8583082503346873,8.0,0.9634825128668432,1.9765067204472508
