alpha,beta,h,c,total,intervals,travel_time,cost_PPO_EnvImpr2V2_c49ab_500K,observed_n_PPO_EnvImpr2V2_c49ab_500K,cost_PTO_Var_n,observed_n_PTO_Var_n,cost_PTO_Fix_n_3,cost_PTO_Fix_n_5,cost_Oracle_Var_n,observed_n_Oracle_Var_n,cost_Oracle_Fix_n_3,cost_Oracle_Fix_n_5
1.0,1.2000000000000002,0.5,25,15,"[0.76686464 0.16212934 0.57401325 0.14442283 0.10186448 1.60696352
 1.29251246 0.62244977 3.4387854  1.152499   1.69071815 0.95095852
 0.00673831 2.88912522 1.09669479]",6.397356817061027,4.298187812914192,3.0,4.298187812914192,3.0,4.298187812914192,4.1750441581801825,4.22597639935149,4.0,3.8665139064447054,4.1750441581801825
2.7000000000000015,1.1,0.5,25,25,"[2.36098811 3.43540412 0.62721732 4.3226894  2.07126335 2.13761685
 1.48121238 5.75336782 1.65638718 3.16068602 0.96783925 2.9514817
 1.25914402 1.63587773 2.12340152 3.61743219 0.30829207 2.52197817
 3.93415761 2.24293809 1.49575119 2.07419584 1.7433424  3.92540749
 2.09647428]",31.363388056657968,1.6459767441021675,9.0,1.6459767441021675,9.0,8.208579633938331,3.0381158946332754,25.0,10.0,0.037526833938333226,25.0
2.9000000000000017,1.6000000000000005,0.5,25,24,"[11.57001819  0.39085422  3.17248902  5.26108442  3.27137622  4.51746922
  8.04463291  6.39582266  1.23635211  4.75890785  6.19248415  2.45291036
  4.38479204  6.09015768 11.19843178  2.98710618  3.98910509  5.80751086
  3.87201486  2.87381144  4.94422499  1.56495442  4.57825029  1.76865518]",39.4647036496789,5.104759559060135,13.0,5.104759559060135,13.0,3.4028852806459966,7.339396712927524,5.58391763935537,12.0,6.646214550646,6.880965992927528
1.5000000000000004,1.7000000000000006,0.5,25,26,"[2.2544889  0.27345849 0.59354753 1.26737252 1.23924395 2.1083781
 6.46405396 5.49905113 2.68090349 2.46203145 0.73542813 1.10995561
 5.55336328 1.63672459 3.93752792 3.88257058 6.34161685 4.02356818
 0.47196251 8.30658042 5.18687082 7.04980315 3.5334208  0.5144421
 2.54568622 3.66203182]",37.55336805725363,21.32960975537364,3.0,21.32960975537364,3.0,21.32960975537364,20.07630151961766,18.522508743244476,5.0,17.382325789000454,18.522508743244476
1.2000000000000002,1.1,0.5,25,27,"[2.11135426 2.76020737 0.30607311 0.00966549 2.16340099 1.16075189
 0.28862306 0.32053801 0.58496632 1.00171874 0.04303155 0.47895431
 2.14966164 0.77421478 0.70560645 0.2541189  2.81656805 0.60926636
 1.75065167 3.53503847 0.55902141 1.06602523 3.01205516 0.84272236
 2.69622304 0.56620959 0.57904873]",16.174674415129928,4.085483183203088,7.0,5.3230099578473435,4.0,25.0,3.0380160206762667,3.8080605034301236,8.0,2.869381913161016,2.956483220676267
1.5000000000000004,1.1,0.5,25,25,"[0.54159863 1.88103829 0.89631593 0.23625275 0.67292828 0.12675084
 1.48494126 0.38578652 3.50297134 1.84557848 1.44853793 1.17519229
 1.18482975 3.55562936 2.79730318 0.69603715 0.76931777 4.63925153
 2.82968989 1.22620526 1.47060797 1.33752768 2.04314768 2.54158864
 1.69045217]",17.524777925555327,9.949748518856863,4.0,9.949748518856863,4.0,9.241699373619408,9.613284378478543,7.872932747505947,8.0,5.636917303619409,6.670104066256208
1.6000000000000005,1.5000000000000004,0.5,25,10,"[2.13272346 1.5217656  2.64678754 2.385546   2.34262274 0.71915843
 2.99541522 5.11350861 1.53466279 4.64753073]",10.66412480447845,3.3443868585127046,4.0,3.9372639467615738,3.0,3.9372639467615738,2.1730754907926677,4.537159859522349,3.0,4.537159859522349,2.1730754907926677
1.8000000000000007,1.2000000000000002,0.5,25,25,"[1.18108495 1.86854939 1.36406961 0.79339477 2.53365771 3.3113581
 4.57598223 2.99194354 1.1200109  3.86143459 0.94828426 6.17845734
 3.38141675 3.23312037 1.91151271 2.92683504 2.73498622 3.974129
 4.56771918 0.2046358  1.18204989 4.34854133 0.65756852 0.5800225
 3.00027637]",36.530613819684184,11.24336165109322,3.0,11.24336165109322,3.0,11.24336165109322,9.579835411827208,11.24336165109322,3.0,11.24336165109322,9.579835411827208
2.300000000000001,1.1,0.5,25,10,"[6.77489182 2.29624948 2.3334783  1.86897759 2.939959   1.04306097
 2.65705763 2.93255864 4.50831891 8.04659709]",11.762767773186566,4.824351801385156,4.0,4.824351801385156,4.0,2.9894866678827867,3.7124127294480083,6.116881026289505,3.0,6.116881026289505,3.7124127294480083
1.5000000000000004,1.9000000000000008,0.5,25,19,"[5.71751498 2.90578231 1.90968019 0.232146   1.3851196  0.90281622
 2.27947249 0.44824473 1.37016546 0.9786975  3.91093719 2.32819913
 9.75179279 3.84922993 6.12890764 1.96400755 0.96798116 4.36025554
 3.00094597]",13.392347792721864,12.60938602993468,8.0,11.189313012211315,7.0,25.0,9.89801897071488,9.316669041295611,8.0,5.509885686442551,7.30791657071488
2.300000000000001,1.3000000000000003,0.5,25,27,"[3.74407157 0.961297   3.38434555 2.97589547 2.38587805 2.17606674
 4.21970905 0.94460163 3.91847273 6.10624488 1.3005148  1.90055518
 5.07985957 2.68478001 2.46905861 3.95496202 2.21125203 1.99482818
 2.19645881 1.42727711 1.03082772 1.64255118 2.91727291 1.28447147
 3.95477493 1.53477142 1.83537829]",26.37547427661402,25.0,15.0,25.0,14.0,4.136029478925941,3.3042908787056575,0.16061339058990143,14.0,1.6251597189259428,1.7883599987056584
2.5000000000000013,1.4000000000000004,0.5,25,17,"[7.9732273  1.87482527 4.45919005 1.16744436 3.30578097 3.27531835
 1.20676678 1.57274052 1.37637017 6.43185208 6.18944237 5.48809071
 2.67880563 1.96582302 3.21993028 3.08940951 2.27175794]",20.418388180222113,5.6515780014008605,7.0,6.146546767879922,8.0,25.0,2.754746638881169,5.734096692990978,8.0,3.0351365872863703,4.025059603881168
1.9000000000000008,1.3000000000000003,0.5,25,10,"[5.78116163 5.45805112 4.84082104 3.36012398 3.51413809 6.75975522
 3.20820146 1.86538023 2.74668006 2.18563216]",13.01400551830897,25.0,6.0,25.0,6.0,25.0,25.0,5.312952838768691,3.0,5.312952838768691,1.8758218022695168
1.7000000000000006,1.7000000000000006,0.5,25,27,"[10.69438871  6.65883938  3.71438182  3.59846948  2.87057293  0.43865754
 11.68139568  4.20686381  5.08057657  1.11599986  0.63233854  5.03758603
  4.47001278  1.18346998  0.92923097  0.25484659  5.86248895  0.85114496
  1.79621479  5.29653103  3.16693852  1.45222422  0.70727742  6.28766169
  6.15434323  0.89196811  4.29903969]",31.46383503249256,2.6509987789194085,16.0,2.6509987789194085,16.0,25.0,25.0,6.069778935278286,12.0,11.330973398864352,10.844827231390425
1.3000000000000003,1.7000000000000006,0.5,25,26,"[0.30956705 0.56431323 0.73039337 0.61215497 4.436374   4.72279042
 0.75374747 3.38613302 0.79680548 2.37948106 0.97279277 3.62869936
 1.74428011 5.35040011 1.96129723 0.18992541 4.77261922 1.78060416
 1.06196808 0.93236392 0.96856321 6.70632717 3.0368038  2.052517
 5.3819142  3.60755992]",22.89423919064764,19.17094145273675,3.0,19.17094145273675,3.0,19.17094145273675,16.64667696503352,10.090704397963467,10.0,11.556311288060567,11.08044744035734
1.0,1.7000000000000006,0.5,25,13,"[0.28327063 0.16779728 2.86702187 0.49879113 0.00855694 0.27059842
 1.25352594 0.71878074 0.18820628 1.58341032 0.93788206 1.31530284
 1.25298436]",3.2204988556779424,2.1272194716899473,4.0,2.1272194716899473,4.0,1.860097590996725,2.1500960473102504,0.9056923601492217,5.0,25.0,0.9056923601492217
1.8000000000000007,1.5000000000000004,0.5,25,14,"[ 2.49407078  0.11821142  2.00434542  0.53510308  1.18908415  0.99897691
 10.27346185  1.4498414   4.68553722  1.97055296  0.40814868  1.58303154
  2.34140425  1.16908332]",9.969331883376382,8.317446739946117,3.0,8.317446739946117,3.0,8.317446739946117,7.455353125253842,5.715393977449688,6.0,3.5977305966343085,5.074744186942032
1.9000000000000008,1.5000000000000004,0.5,25,26,"[5.04639916 1.01761861 4.5958858  5.15950824 1.30055249 1.24132646
 2.8501765  2.15131762 5.87422627 3.72055493 2.8799973  2.6008965
 0.71429156 1.02057795 1.08281145 4.72182235 4.6685503  3.11752536
 1.67261796 2.1594802  1.67001633 6.40781827 4.37326935 2.63201532
 4.90530667 3.19961063]",34.36062914305375,3.323968776090915,11.0,3.1373754244510224,10.0,1.018114521239383,2.455490236105817,6.732989177924146,10.0,8.83575932123938,8.301894076105818
