alpha,beta,h,c,total,intervals,travel_time,cost_PPO_EnvImpr2V2_c49ab_500K,observed_n_PPO_EnvImpr2V2_c49ab_500K,cost_PTO_Var_n,observed_n_PTO_Var_n,cost_PTO_Fix_n_3,cost_PTO_Fix_n_5,cost_Oracle_Var_n,observed_n_Oracle_Var_n,cost_Oracle_Fix_n_3,cost_Oracle_Fix_n_5
2.100000000000001,1.3000000000000003,0.5,25,13,"[1.33594725 5.42897712 2.16588319 2.2123668  1.92235232 4.69245292
 2.79860017 1.63353205 2.25934301 0.99813731 5.94254411 3.90480489
 1.1347086 ]",23.89997919784199,1.7994314943700331,3.0,1.7994314943700331,3.0,1.7994314943700331,25.0,1.7994314943700331,3.0,1.7994314943700331,25.0
1.4000000000000004,1.6000000000000005,0.5,25,19,"[1.40703598 0.75612474 0.84909907 0.4559158  0.52090246 1.74633166
 1.35190698 0.30364976 1.36222009 3.67876223 1.00276494 5.29967423
 0.7361163  2.93316301 1.60166672 0.90874814 1.5516138  2.46302239
 3.55381893]",23.225009577127217,3.1226339370177385,3.0,3.1226339370177385,3.0,3.1226339370177385,2.6342248059228908,2.421090730581348,3.0,2.421090730581348,2.6342248059228908
1.1,1.9000000000000008,0.5,25,21,"[2.16743602 0.247211   2.21953345 1.77747859 5.41563508 0.52403364
 2.06510915 2.8934621  2.51878697 2.22954383 1.35071317 3.93442652
 3.58047182 3.56291033 0.53330449 2.79274095 3.0772772  0.08287249
 0.72814425 1.72292172 0.37377601]",34.1725160619105,2.4955461161702175,3.0,2.4955461161702175,3.0,2.4955461161702175,25.0,2.4955461161702175,3.0,2.4955461161702175,25.0
2.9000000000000017,1.8000000000000007,0.5,25,23,"[ 4.78105033  5.12616299  4.16642553  7.18971545  2.42610908  3.42497837
  4.78744433  8.05921302  6.27485358  2.46295327  5.07237052  7.08929619
  3.95349146  3.69309266  5.76902539 13.598168    2.32205433  4.29857859
  6.46183167  5.64338621  3.58764385  5.55537885  3.63511734]",83.2982592902242,6.195309164390146,5.0,6.195309164390146,5.0,5.740221588542745,6.195309164390146,6.955470943393529,4.0,7.999959400272502,6.195309164390146
1.3000000000000003,1.5000000000000004,0.5,25,24,"[ 4.04998881  0.43453322  1.92670888  4.38063469  0.56000757  1.26586482
  4.73919845  0.59957561  0.81261252  1.10843328  2.00791274  1.10997106
  2.49578382  1.46116751  0.66764027  2.43320173  3.39854294  7.207807
  4.46395708  1.19692071  0.95989423  1.9321661  11.63459265  2.83264864]",46.59615172615075,5.336190843798338,3.0,5.336190843798338,3.0,5.336190843798338,2.8658697165922185,5.336190843798338,3.0,5.336190843798338,2.8658697165922185
1.6000000000000005,1.8000000000000007,0.5,25,20,"[1.00329124 0.72357509 4.45282953 0.52273991 1.47881639 0.03092131
 1.49272194 2.98811522 3.01276108 2.84065552 3.36026948 5.61389385
 1.96816521 1.48799081 1.169223   4.74761593 4.09865611 0.6673995
 3.05102121 2.89133712]",31.855395291885095,4.783454145234781,3.0,4.783454145234781,3.0,4.783454145234781,3.7826759955778684,3.7012455168399825,4.0,2.6307690711773297,3.7826759955778684
1.3000000000000003,1.6000000000000005,0.5,25,10,"[0.60104114 0.8658137  0.29130271 0.73505533 0.55479857 4.73687976
 1.81672955 0.76696153 0.86642524 2.87084104]",8.994737120674145,1.6764769505152808,3.0,1.6764769505152808,3.0,1.6764769505152808,1.0315500010365461,1.6764769505152808,3.0,1.6764769505152808,1.0315500010365461
1.6000000000000005,1.1,0.5,25,27,"[3.82713943 4.26987251 5.33861174 0.53876821 0.35669499 0.91667449
 0.35627047 1.77228493 2.61527665 5.26376187 2.91482071 0.29812723
 0.34361104 0.72280092 1.18733732 2.58223528 2.47314329 0.77407625
 1.43818806 2.76906195 3.2396629  1.13176018 2.87232756 0.91523515
 0.93430994 1.17999662 0.84530589]",29.280528024218903,2.610255400382858,8.0,2.610255400382858,8.0,25.0,25.0,3.85492377948016,4.0,3.3175251648268294,4.132870348136343
2.000000000000001,1.2000000000000002,0.5,25,10,"[3.69486877 2.04699659 0.6183388  0.3428749  3.99763573 1.84899805
 6.47543706 2.44791264 2.38293471 1.03903188]",14.31340988330268,2.110707540351422,3.0,2.110707540351422,3.0,2.110707540351422,25.0,2.110707540351422,3.0,2.110707540351422,25.0
1.3000000000000003,1.2000000000000002,0.5,25,19,"[0.65708315 1.64096523 0.258986   0.67478243 2.82553072 0.84759593
 0.92888271 0.33791548 2.3862409  2.75909066 2.16247116 0.71347421
 1.90614071 2.34001654 1.7653433  1.17302107 1.38729337 5.09832994
 0.47004151]",23.711108257949824,2.0325311911892676,3.0,2.0325311911892676,3.0,2.0325311911892676,0.2823746160612739,2.0325311911892676,3.0,2.0325311911892676,0.2823746160612739
1.5000000000000004,1.7000000000000006,0.5,25,23,"[ 1.4689211   4.7231685   1.38196975  0.2986842   3.69716934  3.71712064
  3.68161599  5.78924112  0.32855806  0.19334404 11.62733158  2.05637125
  2.38803951  2.37829876  0.76045523  3.05400079  2.74828702  1.99487366
  2.94629958  7.75318468  1.37168593  1.27886742  5.24511176]",52.477346649276605,5.415596965198407,3.0,5.415596965198407,3.0,5.415596965198407,3.4176701942602747,5.415596965198407,3.0,5.415596965198407,3.4176701942602747
